sep=;
Series;Time;Value
alertmanager;2017-03-07T05:17:01.000Z;6504448
alertmanager;2017-03-07T05:17:11.000Z;6639616
alertmanager;2017-03-07T05:17:21.000Z;6639616
alertmanager;2017-03-07T05:17:31.000Z;6512640
alertmanager;2017-03-07T05:17:41.000Z;6512640
alertmanager;2017-03-07T05:17:51.000Z;6504448
alertmanager;2017-03-07T05:18:01.000Z;6504448
alertmanager;2017-03-07T05:18:11.000Z;6504448
alertmanager;2017-03-07T05:18:21.000Z;6504448
alertmanager;2017-03-07T05:18:31.000Z;6504448
alertmanager;2017-03-07T05:18:41.000Z;6635520
alertmanager;2017-03-07T05:18:51.000Z;6508544
alertmanager;2017-03-07T05:19:01.000Z;6508544
alertmanager;2017-03-07T05:19:11.000Z;6504448
cadvisor;2017-03-07T04:48:01.000Z;28418048
cadvisor;2017-03-07T04:48:11.000Z;28979200
cadvisor;2017-03-07T04:48:21.000Z;29102080
cadvisor;2017-03-07T04:48:31.000Z;29081600
cadvisor;2017-03-07T04:48:41.000Z;28831744
cadvisor;2017-03-07T04:48:51.000Z;28729344
cadvisor;2017-03-07T04:49:01.000Z;28704768
cadvisor;2017-03-07T04:49:11.000Z;28651520
cadvisor;2017-03-07T04:49:21.000Z;28905472
cadvisor;2017-03-07T04:49:31.000Z;28901376
cadvisor;2017-03-07T04:49:41.000Z;29413376
cadvisor;2017-03-07T04:49:51.000Z;28938240
cadvisor;2017-03-07T04:50:01.000Z;28999680
cadvisor;2017-03-07T04:50:11.000Z;28839936
cadvisor;2017-03-07T04:50:21.000Z;28790784
cadvisor;2017-03-07T04:50:31.000Z;28770304
cadvisor;2017-03-07T04:50:41.000Z;29401088
cadvisor;2017-03-07T04:50:51.000Z;28831744
cadvisor;2017-03-07T04:51:01.000Z;28930048
cadvisor;2017-03-07T04:51:11.000Z;28823552
cadvisor;2017-03-07T04:51:21.000Z;28651520
cadvisor;2017-03-07T04:51:31.000Z;28774400
cadvisor;2017-03-07T04:51:41.000Z;29155328
cadvisor;2017-03-07T04:51:51.000Z;29048832
cadvisor;2017-03-07T04:52:01.000Z;28958720
cadvisor;2017-03-07T04:52:11.000Z;28913664
cadvisor;2017-03-07T04:52:21.000Z;28872704
cadvisor;2017-03-07T04:52:31.000Z;28827648
cadvisor;2017-03-07T04:52:41.000Z;29261824
cadvisor;2017-03-07T04:52:51.000Z;29061120
cadvisor;2017-03-07T04:53:01.000Z;29007872
cadvisor;2017-03-07T04:53:11.000Z;28737536
cadvisor;2017-03-07T04:53:21.000Z;28692480
cadvisor;2017-03-07T04:53:31.000Z;28692480
cadvisor;2017-03-07T04:53:41.000Z;29384704
cadvisor;2017-03-07T04:53:51.000Z;29007872
cadvisor;2017-03-07T04:54:01.000Z;29233152
cadvisor;2017-03-07T04:54:11.000Z;28876800
cadvisor;2017-03-07T04:54:21.000Z;28807168
cadvisor;2017-03-07T04:54:31.000Z;28696576
cadvisor;2017-03-07T04:54:41.000Z;29282304
cadvisor;2017-03-07T04:54:51.000Z;28852224
cadvisor;2017-03-07T04:55:01.000Z;29192192
cadvisor;2017-03-07T04:55:11.000Z;28905472
cadvisor;2017-03-07T04:55:21.000Z;28868608
cadvisor;2017-03-07T04:55:31.000Z;26689536
